scenario_id,scenario_group,scenario_type,level,target_scope,eps_import_dep,priority_mode,seed,max_iter,z_cost,total_penalty,objective,pen_shortage,pen_import,pen_local,pen_inv_floor,pen_infeas,shortage,import_dep,import_dep_violation,service_rate,local_prod,total_import,total_demand,elapsed_seconds,worst_shortage_prov,worst_shortage_month,worst_shortage_val
S2_IMPORT_CAP_75,Kapasitas negara sumber impor turun,operational_stress,-75%,all import source capacities,0.9,balanced,8,500,25770801408902.766,6730419985111.322,32501221394014.086,702478164312.1602,4148941408145.258,0.0,1879000412653.904,0.0,6140.048907630422,0.9150514841643069,0.015051484164306905,0.9974515574153064,227908.68132459305,2454994.946625929,2409333.82,47.11353259999305,22,11,3203.659385729946
S2_IMPORT_CAP_75,Kapasitas negara sumber impor turun,operational_stress,-75%,all import source capacities,0.9,balanced,9,500,26710811928815.613,7509910734700.635,34220722663516.246,118647884229.35942,4408040307668.767,0.0,2983222542802.5083,0.0,1037.0483368240523,0.9159914403120393,0.01599144031203925,0.9995695705060812,233904.50668393934,2550389.231391659,2409333.82,54.22049100045115,29,9,768.745547643322
S2_IMPORT_CAP_75,Kapasitas negara sumber impor turun,operational_stress,-75%,all import source capacities,0.9,balanced,10,500,28948309578965.215,15034883104180.77,43983192683145.984,119734676722.52023,8127479065992.266,0.0,6787669361465.982,0.0,1046.5475061925222,0.9294847794710616,0.02948477947106154,0.9995656278521867,212519.38021888072,2801289.2503825906,2409333.82,84.73425030009821,9,1,441.08760000000007
S3_PORT_CAP_25,Kapasitas pelabuhan terganggu,operational_stress,-25%,all port throughput capacities,0.9,balanced,1,500,23509309304843.465,1739784413824.9792,25249093718668.44,0.0,828374496067.9391,0.0,911409917757.0402,0.0,0.0,0.9030051679170992,0.0030051679170991497,1.0,240982.89,2243509.168237018,2409333.82,31.416481900028884,0,0,0.0
S3_PORT_CAP_25,Kapasitas pelabuhan terganggu,operational_stress,-25%,all port throughput capacities,0.9,balanced,2,500,23423133429833.113,1426711215288.1758,24849844645121.29,0.0,708253461641.5555,0.0,718457753646.6202,0.0,0.0,0.9025693941450427,0.002569394145042647,1.0,240982.89,2232396.8851267784,2409333.82,39.54017830034718,0,0,0.0
S3_PORT_CAP_25,Kapasitas pelabuhan terganggu,operational_stress,-25%,all port throughput capacities,0.9,balanced,3,500,23568043231489.87,1864989923057.7134,25433033154547.586,0.0,899770694466.0433,0.0,965219228591.6699,0.0,0.0,0.9032641782630807,0.003264178263080675,1.0,240982.8895610883,2250161.396331891,2409333.82,35.987763199955225,0,0,0.0
S3_PORT_CAP_25,Kapasitas pelabuhan terganggu,operational_stress,-25%,all port throughput capacities,0.9,balanced,4,500,23611405074806.895,2114037431984.1733,25725442506791.066,2654502.31786414,1105348045110.633,0.0,1008686732371.2223,0.0,0.0232018230389599,0.9040099695224348,0.00400996952243482,0.9999999903700256,239385.57991666667,2254473.19610087,2409333.82,29.966257499996573,31,0,0.023201823038903058
S3_PORT_CAP_25,Kapasitas pelabuhan terganggu,operational_stress,-25%,all port throughput capacities,0.9,balanced,5,500,23347859126587.766,1508669080702.8926,24856528207290.656,0.0,668980183512.7626,0.0,839688897190.1299,0.0,0.0,0.9024269189771178,0.0024269189771177757,1.0,240787.91541666668,2226982.015515398,2409333.82,32.265467000193894,0,0,0.0
S3_PORT_CAP_25,Kapasitas pelabuhan terganggu,operational_stress,-25%,all port throughput capacities,0.9,balanced,6,500,23914612001957.43,2292931189724.676,26207543191682.1,0.0,1246967637162.8926,0.0,1045963552561.7832,0.0,0.0,0.9045237355262028,0.004523735526202777,1.0,240972.89870752647,2282930.8174214154,2409333.82,31.213356100022793,0,0,0.0
S3_PORT_CAP_25,Kapasitas pelabuhan terganggu,operational_stress,-25%,all port throughput capacities,0.9,balanced,7,500,24151856625525.285,1798633036653.4697,25950489662178.754,0.0,1440123461610.8057,0.0,358509575042.6641,0.0,0.0,0.9052244641089718,0.005224464108971816,1.0,240982.74631711008,2301685.507167515,2409333.82,31.317715699784458,0,0,0.0
