province,metric,initial,optimized,change,change_pct
Sulawesi Selatan,import_received_ton,137.070,162.345,25.275,18.44
Sulawesi Selatan,transfer_in_ton,0.000,0.000,0.000,0.00
Sulawesi Selatan,transfer_out_ton,0.000,0.000,0.000,0.00
Sulawesi Selatan,shortage_ton,0.000,0.000,0.000,0.00
Sulawesi Selatan,service_rate,1.000,1.000,0.000,0.00
Sulawesi Tenggara,demand_ton,10971.070,10971.070,0.000,0.00
Sulawesi Tenggara,local_supply_ton,3795.156,230.268,-3564.888,-93.93
Sulawesi Tenggara,import_received_ton,10833.367,12680.430,1847.063,17.05
Sulawesi Tenggara,transfer_in_ton,0.000,0.000,0.000,0.00
Sulawesi Tenggara,transfer_out_ton,0.000,0.000,0.000,0.00
Sulawesi Tenggara,shortage_ton,0.000,0.000,0.000,0.00
Sulawesi Tenggara,service_rate,1.000,1.000,0.000,0.00
Gorontalo,demand_ton,4681.200,4681.200,0.000,0.00
Gorontalo,local_supply_ton,1132.250,32.278,-1099.972,-97.15
Gorontalo,import_received_ton,4994.895,5306.951,312.056,6.25
Gorontalo,transfer_in_ton,0.000,0.000,0.000,0.00
Gorontalo,transfer_out_ton,0.000,0.000,0.000,0.00
Gorontalo,shortage_ton,0.000,0.000,0.000,0.00
Gorontalo,service_rate,1.000,1.000,0.000,0.00
Sulawesi Barat,demand_ton,16054.500,16054.500,0.000,0.00
Sulawesi Barat,local_supply_ton,511.220,10.650,-500.570,-97.92
Sulawesi Barat,import_received_ton,18773.046,16599.891,-2173.155,-11.58
Sulawesi Barat,transfer_in_ton,0.000,0.000,0.000,0.00
Sulawesi Barat,transfer_out_ton,0.000,0.000,0.000,0.00
Sulawesi Barat,shortage_ton,0.000,0.000,0.000,0.00
Sulawesi Barat,service_rate,1.000,1.000,0.000,0.00
Maluku,demand_ton,22.920,22.920,0.000,0.00
Maluku,local_supply_ton,0.000,1.200,1.200,0.00
Maluku,import_received_ton,29.522,25.540,-3.982,-13.49
Maluku,transfer_in_ton,0.000,0.000,0.000,0.00
Maluku,transfer_out_ton,0.000,0.000,0.000,0.00
Maluku,shortage_ton,0.000,0.000,0.000,0.00
Maluku,service_rate,1.000,1.000,0.000,0.00
Maluku Utara,demand_ton,3234.730,3234.730,0.000,0.00
Maluku Utara,local_supply_ton,103.560,0.000,-103.560,-100.00
Maluku Utara,import_received_ton,3780.970,3266.925,-514.045,-13.60
Maluku Utara,transfer_in_ton,0.000,0.000,0.000,0.00
Maluku Utara,transfer_out_ton,0.000,0.000,0.000,0.00
Maluku Utara,shortage_ton,0.000,0.000,0.000,0.00
Maluku Utara,service_rate,1.000,1.000,0.000,0.00
Papua Barat,demand_ton,59.490,59.490,0.000,0.00
Papua Barat,local_supply_ton,0.000,0.000,0.000,0.00
Papua Barat,import_received_ton,76.651,69.440,-7.211,-9.41
Papua Barat,transfer_in_ton,0.000,0.000,0.000,0.00
Papua Barat,transfer_out_ton,0.000,0.000,0.000,0.00
Papua Barat,shortage_ton,0.000,0.000,0.000,0.00
Papua Barat,service_rate,1.000,1.000,0.000,0.00
Papua Barat Daya,demand_ton,23.796,23.796,0.000,0.00
Papua Barat Daya,local_supply_ton,0.000,0.000,0.000,0.00
Papua Barat Daya,import_received_ton,30.660,27.776,-2.884,-9.41
Papua Barat Daya,transfer_in_ton,0.000,0.000,0.000,0.00
Papua Barat Daya,transfer_out_ton,0.000,0.000,0.000,0.00
Papua Barat Daya,shortage_ton,0.000,0.000,0.000,0.00
Papua Barat Daya,service_rate,1.000,1.000,0.000,0.00
Papua,demand_ton,35.310,35.310,0.000,0.00
Papua,local_supply_ton,0.000,0.000,0.000,0.00
Papua,import_received_ton,45.475,41.180,-4.295,-9.44
Papua,transfer_in_ton,0.000,0.000,0.000,0.00
Papua,transfer_out_ton,0.000,0.000,0.000,0.00
Papua,shortage_ton,0.000,0.000,0.000,0.00
Papua,service_rate,1.000,1.000,0.000,0.00
Papua Selatan,demand_ton,7.062,7.062,0.000,0.00
Papua Selatan,local_supply_ton,0.000,0.000,0.000,0.00
Papua Selatan,import_received_ton,8.535,8.385,-0.150,-1.75
Papua Selatan,transfer_in_ton,0.000,0.000,0.000,0.00
Papua Selatan,transfer_out_ton,0.000,0.000,0.000,0.00
Papua Selatan,shortage_ton,0.000,0.000,0.000,0.00
Papua Selatan,service_rate,1.000,1.000,0.000,0.00
Papua Tengah,demand_ton,7.062,7.062,0.000,0.00
Papua Tengah,local_supply_ton,0.000,0.000,0.000,0.00
Papua Tengah,import_received_ton,8.759,8.236,-0.523,-5.97
Papua Tengah,transfer_in_ton,0.000,0.000,0.000,0.00
Papua Tengah,transfer_out_ton,0.000,0.000,0.000,0.00
Papua Tengah,shortage_ton,0.000,0.000,0.000,0.00
Papua Tengah,service_rate,1.000,1.000,0.000,0.00
Papua Pegunungan,demand_ton,126.340,126.340,0.000,0.00
Papua Pegunungan,local_supply_ton,0.000,0.000,0.000,0.00
Papua Pegunungan,import_received_ton,163.735,153.463,-10.272,-6.27
Papua Pegunungan,transfer_in_ton,0.000,0.000,0.000,0.00
Papua Pegunungan,transfer_out_ton,0.000,0.000,0.000,0.00
Papua Pegunungan,shortage_ton,0.000,0.000,0.000,0.00
Papua Pegunungan,service_rate,1.000,1.000,0.000,0.00
