province,month,demand_ton,local_supply_ton,import_received_ton,transfer_in_ton,transfer_out_ton,inventory_ton,shortage_ton,safe_stock
Nusa Tenggara Timur,Sep,132.6,0.0,132.6,0.0,0.0,514.3,0.0,1
Nusa Tenggara Timur,Okt,98.7,0.0,185.4,0.0,0.0,600.9,0.0,1
Nusa Tenggara Timur,Nov,81.8,0.0,84.9,0.0,0.0,604.0,0.0,1
Nusa Tenggara Timur,Des,168.8,0.0,191.0,0.0,0.0,626.2,0.0,1
Kalimantan Barat,Jan,1247.3,0.0,3233.9,0.0,0.0,1986.5,0.0,1
Kalimantan Barat,Feb,1126.8,0.0,1126.8,0.0,0.0,1986.5,0.0,1
Kalimantan Barat,Mar,1247.3,0.0,1247.3,0.0,0.0,1986.5,0.0,1
Kalimantan Barat,Apr,1207.1,0.0,1207.1,0.0,0.0,1986.5,0.0,1
Kalimantan Barat,Mei,1247.3,0.0,1247.3,0.0,0.0,1986.5,0.0,1
Kalimantan Barat,Jun,1207.1,0.0,1900.1,0.0,0.0,2679.5,0.0,1
Kalimantan Barat,Jul,1247.3,0.0,1247.3,0.0,0.0,2679.5,0.0,1
Kalimantan Barat,Agu,1247.3,0.0,1247.3,0.0,0.0,2679.5,0.0,1
Kalimantan Barat,Sep,1207.1,0.0,1207.1,0.0,0.0,2679.5,0.0,1
Kalimantan Barat,Okt,1247.3,0.0,1298.7,0.0,0.0,2730.9,0.0,1
Kalimantan Barat,Nov,1207.1,0.0,1207.1,0.0,0.0,2730.9,0.0,1
Kalimantan Barat,Des,1247.3,0.0,1414.7,0.0,0.0,2898.2,0.0,1
Kalimantan Tengah,Jan,1264.4,0.0,1477.2,0.0,0.0,212.8,0.0,0
Kalimantan Tengah,Feb,1178.6,0.0,1178.6,0.0,0.0,212.8,0.0,0
Kalimantan Tengah,Mar,1264.5,0.0,1264.5,0.0,0.0,212.8,0.0,0
Kalimantan Tengah,Apr,1223.7,0.0,1223.7,0.0,0.0,212.8,0.0,0
Kalimantan Tengah,Mei,1264.5,0.0,1264.5,0.0,0.0,212.8,0.0,0
Kalimantan Tengah,Jun,1223.8,0.0,1347.0,0.0,0.0,336.0,0.0,0
Kalimantan Tengah,Jul,1264.5,0.0,1264.5,0.0,0.0,336.0,0.0,0
Kalimantan Tengah,Agu,1264.5,0.0,1264.7,0.0,0.0,336.1,0.0,0
Kalimantan Tengah,Sep,1223.7,0.0,1223.7,0.0,0.0,336.1,0.0,0
Kalimantan Tengah,Okt,1264.4,0.0,1296.9,0.0,0.0,368.6,0.0,0
Kalimantan Tengah,Nov,1223.7,0.0,1223.7,0.0,0.0,368.6,0.0,0
Kalimantan Tengah,Des,1264.4,0.0,1430.5,0.0,0.0,534.7,0.0,0
Kalimantan Selatan,Jan,13.9,6.9,16.2,0.0,0.0,9.3,0.0,1
Kalimantan Selatan,Feb,4.0,0.0,4.0,0.0,0.0,9.3,0.0,1
Kalimantan Selatan,Mar,4.9,0.0,4.9,0.0,0.0,9.3,0.0,1
Kalimantan Selatan,Apr,4.3,0.0,4.3,0.0,0.0,9.3,0.0,1
Kalimantan Selatan,Mei,4.0,0.0,4.0,0.0,0.0,9.3,0.0,1
Kalimantan Selatan,Jun,6.3,0.0,7.0,0.0,0.0,9.9,0.0,1
Kalimantan Selatan,Jul,4.1,0.0,4.1,0.0,0.0,9.9,0.0,1
Kalimantan Selatan,Agu,4.5,0.0,4.5,0.0,0.0,9.9,0.0,1
Kalimantan Selatan,Sep,4.3,0.0,4.3,0.0,0.0,9.9,0.0,1
Kalimantan Selatan,Okt,4.3,0.0,4.3,0.0,0.0,9.9,0.0,1
Kalimantan Selatan,Nov,3.8,0.0,3.8,0.0,0.0,9.9,0.0,1
Kalimantan Selatan,Des,3.9,0.0,4.4,0.0,0.0,10.4,0.0,1
Kalimantan Timur,Jan,3951.5,0.0,10244.6,0.0,0.0,6293.1,0.0,1
Kalimantan Timur,Feb,3696.6,0.0,3696.6,0.0,0.0,6293.1,0.0,1
Kalimantan Timur,Mar,3952.8,0.0,3952.8,0.0,0.0,6293.1,0.0,1
Kalimantan Timur,Apr,3830.8,0.0,3830.8,0.0,0.0,6293.1,0.0,1
Kalimantan Timur,Mei,3954.9,0.0,3954.9,0.0,0.0,6293.1,0.0,1
Kalimantan Timur,Jun,3826.7,0.0,4211.9,0.0,0.0,6678.3,0.0,1
Kalimantan Timur,Jul,3951.9,0.0,3951.9,0.0,0.0,6678.3,0.0,1
Kalimantan Timur,Agu,3951.5,0.0,3951.9,0.0,0.0,6678.7,0.0,1
Kalimantan Timur,Sep,3824.8,0.0,3824.8,0.0,0.0,6678.7,0.0,1
Kalimantan Timur,Okt,3951.5,0.0,4053.1,0.0,0.0,6780.3,0.0,1
Kalimantan Timur,Nov,3825.5,0.0,3825.5,0.0,0.0,6780.3,0.0,1
Kalimantan Timur,Des,3951.5,0.0,4470.6,0.0,0.0,7299.4,0.0,1
Kalimantan Utara,Jan,253.2,0.0,656.5,0.0,0.0,403.3,0.0,1
Kalimantan Utara,Feb,236.9,0.0,236.9,0.0,0.0,403.3,0.0,1
Kalimantan Utara,Mar,253.2,0.0,253.2,0.0,0.0,403.3,0.0,1
Kalimantan Utara,Apr,245.1,0.0,245.1,0.0,0.0,403.3,0.0,1
Kalimantan Utara,Mei,253.2,0.0,253.2,0.0,0.0,403.3,0.0,1
Kalimantan Utara,Jun,245.1,0.0,295.9,0.0,0.0,454.2,0.0,1
