province,month,demand_ton,local_supply_ton,import_received_ton,transfer_in_ton,transfer_out_ton,inventory_ton,shortage_ton,safe_stock
DKI Jakarta,Okt,18953.6,0.0,18953.6,0.0,0.0,2169.2,0.0,0
DKI Jakarta,Nov,18342.2,0.0,15862.1,0.0,0.0,0.0,310.9,0
DKI Jakarta,Des,18953.6,0.0,10616.8,0.0,0.0,0.0,8336.9,0
Jawa Barat,Jan,33499.8,750.2,36740.0,0.0,0.0,3990.4,0.0,0
Jawa Barat,Feb,31337.7,1050.3,31102.3,0.0,0.0,4805.3,0.0,0
Jawa Barat,Mar,33497.8,2700.9,33497.8,0.0,0.0,7506.1,0.0,0
Jawa Barat,Apr,32422.2,5401.7,32422.2,0.0,0.0,12907.9,0.0,0
Jawa Barat,Mei,33514.4,5851.9,33560.0,0.0,0.0,18805.2,0.0,0
Jawa Barat,Jun,32417.4,3451.1,38567.1,0.0,0.0,28406.1,0.0,0
Jawa Barat,Jul,33521.6,2250.7,34154.7,0.0,0.0,31289.9,0.0,0
Jawa Barat,Agu,33503.8,4201.3,38337.2,0.0,0.0,40324.7,0.0,1
Jawa Barat,Sep,32415.2,4651.5,32423.1,0.0,0.0,44984.1,0.0,1
Jawa Barat,Okt,33619.6,2700.9,52753.8,0.0,0.0,66819.2,0.0,1
Jawa Barat,Nov,32499.2,1500.5,28107.6,0.0,0.0,63928.0,0.0,1
Jawa Barat,Des,33517.9,1500.5,18916.8,0.0,0.0,50827.4,0.0,1
Jawa Tengah,Jan,30724.7,1292.3,34016.5,0.0,0.0,4584.1,0.0,0
Jawa Tengah,Feb,28632.2,1809.3,28417.1,0.0,0.0,6178.2,0.0,0
Jawa Tengah,Mar,30625.2,4652.4,30625.2,0.0,0.0,10830.6,0.0,0
Jawa Tengah,Apr,29644.0,9304.7,29644.0,0.0,0.0,20135.3,0.0,0
Jawa Tengah,Mei,30631.8,10080.1,33589.8,0.0,0.0,33173.4,0.0,1
Jawa Tengah,Jun,29679.5,5944.7,46632.2,0.0,0.0,56070.9,0.0,1
Jawa Tengah,Jul,30645.9,3877.0,45062.2,0.0,0.0,74364.1,0.0,1
Jawa Tengah,Agu,30647.5,7237.0,35891.8,0.0,0.0,86845.5,0.0,1
Jawa Tengah,Sep,29611.9,8012.4,29611.9,0.0,0.0,94857.9,0.0,1
Jawa Tengah,Okt,30625.6,4652.4,31900.3,0.0,0.0,100785.0,0.0,1
