config,label,use_tabu,use_prs,SA_COOLING,SA_PAPER,SA_REDU,TABU_TENURE,SUB_IT,PRS_EVERY_ITER,PRS_SUB_IT,PRS_ALPHA,PRS_MOVE_MIN_FRAC,PRS_MOVE_MAX_FRAC,seed,z_cost,total_penalty,objective,shortage,import_dep,service_rate,local_prod,elapsed_seconds,worst_shortage_prov,worst_shortage_month,worst_shortage_val,mean_destruction_scale,min_destruction_scale,max_destruction_scale,std_destruction_scale,shortage_m01,shortage_m02,shortage_m03,shortage_m04,shortage_m05,shortage_m06,shortage_m07,shortage_m08,shortage_m09,shortage_m10,shortage_m11,shortage_m12,d_destroy_random_temporal,d_destroy_cost_based,d_destroy_shortage_based,d_destroy_geographic,d_destroy_bottleneck_port,d_destroy_relatedness,r_repair_greedy,r_repair_regret,r_repair_balanced,r_repair_transfer_focused,d_w_destroy_random_temporal,d_w_destroy_cost_based,d_w_destroy_shortage_based,d_w_destroy_geographic,d_w_destroy_bottleneck_port,d_w_destroy_relatedness,r_w_repair_greedy,r_w_repair_regret,r_w_repair_balanced,r_w_repair_transfer_focused
ALNS-TS,ALNS-TS | geometric | standard SA,True,False,geometric,False,0.99,12,30,,,,,,50,23645568858834.91,1952469423247.7705,25598038282082.68,0.0,0.9033151346389002,1.0,240982.88999999998,56.44999649981037,0,0,0.0,0.22152403417637878,0.010964912280701754,0.3499090977584603,0.08446834842748208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,70,104,86,68,72,178,121,107,94,0.100869,0.1,0.100531,0.105267,0.1,0.167692,0.110438,0.1,0.100384,0.1
ALNS-PRS,ALNS-PRS | geometric | standard SA,False,True,geometric,False,0.99,12,30,True,30,0.09,0.05,0.35,1,24130151716381.227,2812394007314.1934,26942545723695.42,0.0,0.9053180833819764,1.0,240944.93890125744,33.86451260000467,0,0,0.0,0.21948511986401537,0.010964912280701754,0.34892937713084493,0.08646878370326379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81,55,119,103,69,73,175,135,88,102,0.177304,0.1,0.100975,0.105932,0.1,0.10021,0.150122,0.10059,0.1,0.100018
ALNS-PRS,ALNS-PRS | geometric | standard SA,False,True,geometric,False,0.99,12,30,True,30,0.09,0.05,0.35,2,23562148476810.07,1672940025802.8853,25235088502612.953,0.0,0.9031632235205458,1.0,240982.88998611932,38.729563399916515,0,0,0.0,0.22090889166278202,0.010964912280701754,0.3498893404012215,0.08684254876431186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87,70,111,78,68,86,205,96,108,91,0.102978,0.1,0.116979,0.13887,0.1,0.12314,0.10365,0.100001,0.12968,0.100001
ALNS-PRS,ALNS-PRS | geometric | standard SA,False,True,geometric,False,0.99,12,30,True,30,0.09,0.05,0.35,3,23531977689252.63,2066587041483.3618,25598564730735.992,4.955532195447349,0.9038727939781267,0.9999979431940256,239037.71708333338,33.09298660000786,28,2,2.8370131680384247,0.2227116483884394,0.010964912280701754,0.34930230693092873,0.08636549860087359,0.0,0.0,4.955532195447349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97,53,108,75,63,104,205,112,100,83,0.105324,0.100001,0.118435,0.105289,0.1,0.152097,0.125648,0.1,0.100315,0.1
ALNS-PRS,ALNS-PRS | geometric | standard SA,False,True,geometric,False,0.99,12,30,True,30,0.09,0.05,0.35,4,23328666404860.562,2079704203692.7207,25408370608553.28,0.0,0.9022140972096425,1.0,240982.89,37.28994489996694,0,0,0.0,0.22234624551467272,0.010964912280701754,0.34961968131479737,0.08636042622656097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105,70,90,87,68,80,152,115,113,120,0.423169,0.1,0.2711,0.100682,0.1,0.100067,0.560821,0.1,0.1,0.1
ALNS-PRS,ALNS-PRS | geometric | standard SA,False,True,geometric,False,0.99,12,30,True,30,0.09,0.05,0.35,5,23507083437584.008,2379816075049.2046,25886899512633.21,0.0,0.904247262958438,1.0,237727.72361359466,31.846091700019315,0,0,0.0,0.2227435880329965,0.010964912280701754,0.3499456271334739,0.08537834399730665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90,61,97,87,57,108,196,91,113,100,0.11006,0.100001,0.147292,0.100569,0.1,0.102425,0.110786,0.100017,0.105436,0.1
ALNS-PRS,ALNS-PRS | geometric | standard SA,False,True,geometric,False,0.99,12,30,True,30,0.09,0.05,0.35,6,23933179938507.723,2143179421455.453,26076359359963.176,0.0,0.904471027455314,1.0,240748.056,33.757470899960026,0,0,0.0,0.2280868578756641,0.010964912280701754,0.34954505069502007,0.08307350162185893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108,71,100,79,59,83,182,108,105,105,0.102511,0.1,0.100031,0.101723,0.1,0.100021,0.102015,0.100021,0.100002,0.1
ALNS-PRS,ALNS-PRS | geometric | standard SA,False,True,geometric,False,0.99,12,30,True,30,0.09,0.05,0.35,7,23619628246136.555,1502941832721.8032,25122570078858.36,0.0,0.9036295688082415,1.0,239957.12079166668,29.801998799899593,0,0,0.0,0.2225117041472666,0.010964912280701754,0.3499424242112124,0.07977920116409301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108,52,115,74,70,81,217,99,88,96,0.105933,0.1,0.131964,0.221662,0.1,0.13758,0.154227,0.128125,0.111865,0.1
ALNS-PRS,ALNS-PRS | geometric | standard SA,False,True,geometric,False,0.99,12,30,True,30,0.09,0.05,0.35,8,23703444923751.53,1941589875795.0137,25645034799546.543,0.0,0.903707406373841,1.0,240982.89,29.388855800032616,0,0,0.0,0.2233838483926163,0.010964912280701754,0.3497522290176538,0.07983744327001199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112,69,95,91,49,84,189,109,103,99,0.26925,0.1,0.100178,0.102753,0.100001,0.111894,0.273901,0.1,0.100051,0.1
ALNS-PRS,ALNS-PRS | geometric | standard SA,False,True,geometric,False,0.99,12,30,True,30,0.09,0.05,0.35,9,24053477066433.715,2061135139538.959,26114612205972.676,0.0,0.9048869326385737,1.0,240982.89,34.09162679989822,0,0,0.0,0.22800682962312596,0.010964912280701754,0.349564501165553,0.07604079072761784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97,69,87,104,60,83,187,99,103,111,0.148049,0.1,0.143337,0.100713,0.1,0.117383,0.126611,0.100018,0.105081,0.105281
ALNS-PRS,ALNS-PRS | geometric | standard SA,False,True,geometric,False,0.99,12,30,True,30,0.09,0.05,0.35,10,24446818903658.23,2413034385030.1445,26859853288688.375,0.0,0.9072036070372855,1.0,239077.14898550237,45.15360899991356,0,0,0.0,0.2203794346562386,0.010964912280701754,0.3488809197945958,0.08983492756817268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85,65,116,96,59,79,201,106,84,109,0.103187,0.100001,0.162149,0.100012,0.1,0.100146,0.118224,0.100002,0.100002,0.100003
